description,origin,section,family,brand,variety,format,group,internet_description,manufacturer
PACK KPI ASEO MARZO-18,ASEO Y LIMPIEZA,COMBOS,COMBOS,SIN MARCA,,,PROMOCIONES,,
TOALLA HIG KOTEX NOR C/A TWISTER 48X8U,CUIDADO PERSONAL,PROTECCION FEMENINA,TOALLAS HIGIENICAS,KOTEX,NOCTURNA TWISTER CON ALAS,PAQUETE,TOALLAS HIGIENICAS,T. HIGIENICA NOCTURNA TWISTER CON ALAS KOTEX 48UN,KIMBERLY CLARK CHILE S.A.
FIDEO DE REYES ESPIRALES 12X400 GR,ALIMENTOS,FIDEOS,GUISOS,DE REYES,,,FIDEOS,,SOCIEDAD PRODUCTORA Y DISTRIBUIDORA S.A.
FIDEO DE REYES CORBATITAS 12X400 GR,ALIMENTOS,FIDEOS,GUISOS,DE REYES,,,FIDEOS,,SOCIEDAD PRODUCTORA Y DISTRIBUIDORA S.A.
FIDEO DE REYES SPAGHETTI 24X400 GR,ALIMENTOS,FIDEOS,GUISOS,DE REYES,,,FIDEOS,,SOCIEDAD PRODUCTORA Y DISTRIBUIDORA S.A.
FIDEO DE REYES TALLARINES 24X400 GR,ALIMENTOS,FIDEOS,GUISOS,DE REYES,,,FIDEOS,,SOCIEDAD PRODUCTORA Y DISTRIBUIDORA S.A.
MUIBON MANI 24X12X40GR,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CHOCOLATES,MUIBON,,,CONFITES,,TRESMONTES S.A
MUIBON FLOW LECHE 12X20X18GR,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CHOCOLATES,MUIBON,,,CONFITES,,TRESMONTES S.A
MUIBON FLOW LECHE 12X12X48GR,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CHOCOLATES,MUIBON,,,CONFITES,,TRESMONTES S.A
MUIBON COOKIES Y CREAM 24X24X11GR,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CHOCOLATES,MUIBON,,,CONFITES,,TRESMONTES S.A
MUIBON LECHE 24X24X12GR,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CHOCOLATES,MUIBON,,,CONFITES,,TRESMONTES S.A
MUIBON LECHE 18X16X30GR,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CHOCOLATES,MUIBON,,,CONFITES,,TRESMONTES S.A
MUIBON BITS 24X24X21GR,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CHOCOLATES,MUIBON,,,CONFITES,,TRESMONTES S.A
LECHE COLUN CAFE CAPUCCINO UHT 18X330CC,LACTEOS REFRIGERADOS Y CECINAS,LECHE LIQUIDA,SABOR,COLUN,CAFE CAPPUCHINO,CAJA,LECHE LIQUIDA,LECHE SABOR CAFE CAPPUCHINO COLUN 330CC,COOPERATIVA AGRICOLA LECHERA LA UNION LT
