description,origin,section,family,brand,variety,format,group,internet_description,manufacturer
18RINSBBLLUV3K+40RINSPASEO1K+8SHSUAVMIEL,ASEO Y LIMPIEZA,DETERGENTES,POLVO,RINSO,,,,,UNILEVER CHILE LIMITADA.
18RINSBBLLUV3K+40RINSPASEO1K+8SHSUAVPALT,ASEO Y LIMPIEZA,DETERGENTES,POLVO,RINSO,,,,,UNILEVER CHILE LIMITADA.
18RINSBLLUV3K+40RINSPASEO1K+8SHSUAVPEPME,ASEO Y LIMPIEZA,DETERGENTES,POLVO,RINSO,,,,,UNILEVER CHILE LIMITADA.
18RINSCAMSOB3K+40RINSPASEO1K+8SHSUAVCOCO,ASEO Y LIMPIEZA,DETERGENTES,POLVO,RINSO,,,,,UNILEVER CHILE LIMITADA.
18RINSCAMSOB3K+40RINSPASEO1K+8SHSUAVMIEL,ASEO Y LIMPIEZA,DETERGENTES,POLVO,RINSO,,,,,UNILEVER CHILE LIMITADA.
18RINSCAMSOB3K+40RINSPASEO1K+8SHSUAVPALT,ASEO Y LIMPIEZA,DETERGENTES,POLVO,RINSO,,,,,UNILEVER CHILE LIMITADA.
18RINSCSOBR3K+40RINSPASEO1K+8SHSUAVPEPME,ASEO Y LIMPIEZA,DETERGENTES,POLVO,RINSO,,,,,UNILEVER CHILE LIMITADA.
18RINSBBLLUV3K+40RINSBBLANC1K+8SHSUAVCOC,ASEO Y LIMPIEZA,DETERGENTES,POLVO,RINSO,,,,,UNILEVER CHILE LIMITADA.
RINSO POLVO 1  X 1.0 UNI.,ASEO Y LIMPIEZA,DETERGENTES,POLVO,RINSO,,,DETERGENTES RINSO,,UNILEVER CHILE LIMITADA.
18RINSBBLLUV3K+40RINSBBLANC1K+8SHSUAVPAL,ASEO Y LIMPIEZA,DETERGENTES,POLVO,RINSO,,,,,UNILEVER CHILE LIMITADA.
18RINSBLLUV3K+40RINSBBLANC1K+8SHSUAVPEPM,ASEO Y LIMPIEZA,DETERGENTES,POLVO,RINSO,,,,,UNILEVER CHILE LIMITADA.
18RINSCAMSOB3K+40RINSBBLANC1K+8SHSUAVCOC,ASEO Y LIMPIEZA,DETERGENTES,POLVO,RINSO,,,,,UNILEVER CHILE LIMITADA.
18RINSCAMSOB3K+40RINSBBLANC1K+8SHSUAVMIE,ASEO Y LIMPIEZA,DETERGENTES,POLVO,RINSO,,,,,UNILEVER CHILE LIMITADA.
18RINSCAMSOB3K+40RINSBBLANC1K+8SHSUAVPAL,ASEO Y LIMPIEZA,DETERGENTES,POLVO,RINSO,,,,,UNILEVER CHILE LIMITADA.
18RINSCSOBR3K+40RINSBBLANC1K+8SHSUAVPEPM,ASEO Y LIMPIEZA,DETERGENTES,POLVO,RINSO,,,,,UNILEVER CHILE LIMITADA.
YOGHURT GRIEGO TROZOS PAPAYA 110GR,LACTEOS REFRIGERADOS Y CECINAS,YOGHURT,GRIEGO FRUTAS,SOPROLE,,,,,DIWATTS S.A
YOGHURT GRIEGO DANONE DURAZNO 48X110GR,LACTEOS REFRIGERADOS Y CECINAS,YOGHURT,BATIDO FRUTAS,DANONE,,,REFRIGERADOS,,DIWATTS S.A
YOGHURT GRIEGO DANONE FRUTILLA 48X110GR,LACTEOS REFRIGERADOS Y CECINAS,YOGHURT,BATIDO FRUTAS,DANONE,,,REFRIGERADOS,,DIWATTS S.A
YOGHURT GRIEGO TROZOS MANZ FRU.SEC 110GR,LACTEOS REFRIGERADOS Y CECINAS,YOGHURT,BATIDO FRUTAS,DANONE,,,,,DIWATTS S.A
YOGHURT GRIEGO NATURAL S/AZUCAR 110GRS,LACTEOS REFRIGERADOS Y CECINAS,YOGHURT,BATIDO FRUTAS,DANONE,,,,,DIWATTS S.A
CLEAR SH MIX SCH. 10X24X10ML,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,SHAMPOO,CLEAR,,,,,UNILEVER CHILE LIMITADA.
SAN JORGE HAMBURGUESAS DE CERDO 72X55GR,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,HAMBURGUESAS,SAN JORGE,CERDO,PAQUETE,REFRIGERADOS,,CIAL ALIMENTOS S.A.
MINI JAMONADA SAN JORGE 8  X 400.0 GR,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,JAMONADA,SAN JORGE,,BARRA,REFRIGERADOS,,CIAL ALIMENTOS S.A.
MINI CERVEZA SAN JORGE 8  X 400.0 GRS,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,SALCHICHON,SAN JORGE,CERVEZA,BARRA,REFRIGERADOS,,CIAL ALIMENTOS S.A.
MINI MORTADELA SAN JORGE 8  X 400.0 G,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,MORTADELA,SAN JORGE,,BARRA,REFRIGERADOS,,CIAL ALIMENTOS S.A.
CECINAS SAN JORGE HAMB CERDO 72 X 55,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,HAMBURGUESAS,SAN JORGE,CERDO,BARRA,REFRIGERADOS,,CIAL ALIMENTOS S.A.
CECINAS SAN JORGE HAMBURG POLLO 72X55GRS,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,HAMBURGUESAS,SAN JORGE,POLLO,BARRA,REFRIGERADOS,,CIAL ALIMENTOS S.A.
PATE POTE TERNERA SAN JORGE 12X125 GRS,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,PATE,SAN JORGE,,,REFRIGERADOS,,CIAL ALIMENTOS S.A.
PATE POTE AVE SAN JORGE 12X125.0 GRS.,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,PATE,SAN JORGE,,,REFRIGERADOS,,CIAL ALIMENTOS S.A.
MARGARINA DORINA C/LECHE POTE 5X6X250 GR,LACTEOS REFRIGERADOS Y CECINAS,MANTECAS,MANTECAS,DORINA,,,REFRIGERADOS,,UNILEVER CHILE LIMITADA.
Z. CLUB TE HIERBAS MIX 10X10X20GR,ALIMENTOS,TE,BOLSITA,CLUB,,,,,UNILEVER CHILE LIMITADA.
Z.CLEAR SH ANTIC RENOV DIAR SCH 10X24X10,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,SHAMPOO,CLEAR,,,PRODUCTOS ASEO PERSONAL,,UNILEVER CHILE LIMITADA.
Z.REXONA DEO STICK AP NUTRITIVE 12X50GR,CUIDADO PERSONAL,PERFUMERIA,DESODORANTE MUJER,REXONA,NUTRITIVE,BARRA,PERFUMERIA,,UNILEVER CHILE LIMITADA.
Z.REXONA DEO STICK AP SENSITIVE 12X50GR,CUIDADO PERSONAL,PERFUMERIA,DESODORANTE MUJER,REXONA,SENSITIVE,BARRA,PERFUMERIA,,UNILEVER CHILE LIMITADA.
Z.REXONA DEO STICK AP SUPERHERO 12X50GR,CUIDADO PERSONAL,PERFUMERIA,DESODORANTES,REXONA,,,PERFUMERIA,,UNILEVER CHILE LIMITADA.
JUREL UNICA NACIONAL T. CHICO 48X200G,ALIMENTOS,CONSERVAS,JUREL,UNICA,,LATA,CONSERVAS JURELES,,CANNEX S.A.
PATE EN POTE JAMON S/JORG 12X125GRS,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,PATE,SAN JORGE,,,REFRIGERADOS,,CIAL ALIMENTOS S.A.
YOGHURT GOLD MINI TRADICIONAL 36X125GRS,LACTEOS REFRIGERADOS Y CECINAS,YOGHURT,BATIDO FRUTAS,SOPROLE,,,,,COMERCIAL SANTA ELENA S.A.
YOGHURT GOLD MINI STRACCIATELLA 36X125G,LACTEOS REFRIGERADOS Y CECINAS,YOGHURT,BATIDO FRUTAS,SOPROLE,,,,,COMERCIAL SANTA ELENA S.A.
YOGHURT GOLD MINI LUCUMA-NUEZ 36X125G,LACTEOS REFRIGERADOS Y CECINAS,YOGHURT,BATIDO FRUTAS,SOPROLE,,,REFRIGERADOS,,COMERCIAL SANTA ELENA S.A.
Z.IN KAT 12 X 24 X 28GRS.,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CHOCOLATES,INKAT,,BARRA,CONFITES,CHOCOLATE INKAT 28GR,COMERCIAL CCU S.A.
CREMOLATE CLASICO COCO 20X14 GRS.,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,BIZCOCHOS,CREMOLATE,,PAQUETE,CONFITES,,COMERCIAL CCU S.A.
BRAUNICHOC 6  X 35 GRS.,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,BIZCOCHOS,BAUNICHOC,CHOC,PAQUETE,CONFITES,,COMERCIAL CCU S.A.
CEREALCHIPS NATUR 18 X 30.0 GRS.,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CEREALES,NATUR,,,,,COMERCIAL CCU S.A.
CEREAL ASTRITOS NATUR 18 X 30.0 GRS.,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CEREALES,NATUR,,,,,COMERCIAL CCU S.A.
CEREAL ASTRITOS NATUR 8X500 GR,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CEREALES,NATUR,,,ALIMENTOS INFANTILES,,COMERCIAL CCU S.A.
CEREAL BOLI CHIPS NATUR 8 X 450.0 GRS.,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CEREALES,NATUR,,,,,COMERCIAL CCU S.A.
GALLETA DUETTO VAINILLA CALAF 24X125 GRS,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,GALLETAS DULCES,DUETTO,VAINILLA,PAQUETE,CONFITES,,COMERCIAL CCU S.A.
GALLETA DUETTO CHOCOLATE CALAF 24X125GRS,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,GALLETAS DULCES,DUETTO,CHOCOLATE,PAQUETE,CONFITES,,COMERCIAL CCU S.A.
GALLETA DUETTO NARANJA CALAF 24X125 GRS.,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,GALLETAS DULCES,DUETTO,NARANJA,PAQUETE,CONFITES,,COMERCIAL CCU S.A.
GALLETA DUETTO VAINILLA CALAF 24X50 GRS.,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,GALLETAS DULCES,DUETTO,VAINILLA,PAQUETE,CONFITES,,COMERCIAL CCU S.A.
GALLETA DUETTO FRUTILLA CALAF 24X50 GR,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,GALLETAS DULCES,DUETTO,FRUTILLA,PAQUETE,CONFITES,,COMERCIAL CCU S.A.
GALLETA DELICIA C/SALSA FRAM 6X24X42G,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,GALLETAS DULCES,NUTRA BIEN,,,,,COMERCIAL CCU S.A.
CA.ALFAJOR CLASICO CALAF 9X18X35GRS,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,BIZCOCHOS,CALAF,,,CONFITES,,COMERCIAL CCU S.A.
MALVA CHOC CALAF 8X250 GRS,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,GOMITAS,CALAF,,,CONFITES,,COMERCIAL CCU S.A.
CALUGA SUNY CLASICA CALAF 8X400GRS,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CARAMELOS,SUNNY,CLASICO,BOLSA,CONFITES,,COMERCIAL CCU S.A.
CEREAL FUNFRUTS NATUR 18X30GRS,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CEREALES,NATUR,,,,,COMERCIAL CCU S.A.
CEREAL CHIPS NATUR 8X500,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CEREALES,NATUR,,,,,COMERCIAL CCU S.A.
CEREAL FUNFRUTS NATUR 8X500GRS,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CEREALES,NATUR,,,,,COMERCIAL CCU S.A.
GALLETA DUETTO FRUTILLA 24X125GRS,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,GALLETAS DULCES,DUETTO,FRUTILLA,PAQUETE,CONFITES,,COMERCIAL CCU S.A.
GALLETA DUETTO COCO 24X125GRS,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,GALLETAS DULCES,DUETTO,COCO,PAQUETE,CONFITES,,COMERCIAL CCU S.A.
GALLETA DUETTO CHOCOLATE 24X50GR,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,GALLETAS DULCES,DUETTO,CHOCOLATE,PAQUETE,CONFITES,,COMERCIAL CCU S.A.
GALLETA DUETTO COCO 24X50GRS,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,GALLETAS DULCES,DUETTO,COCO,PAQUETE,CONFITES,,COMERCIAL CCU S.A.
LECHE POL EXTRA CALCIO CALO 14X400,LACTEOS REFRIGERADOS Y CECINAS,LECHE POLVO,ENTERAS,CALO,,,,,DIWATTS S.A
LECHE POLVO SEMIDESCREMADA CALO 14X400 G,LACTEOS REFRIGERADOS Y CECINAS,LECHE POLVO,DESCREMADAS,CALO,,,LECHE POLVO,,DIWATTS S.A
CEREAL ARROZ BLANCO AMAZONA 60X10X25GR,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CEREALES,AMAZONA,,,,,COMERCIAL AMAZONA
CEREAL ARROZ COLOR AMAZONA 60X10X25GRS,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CEREALES,AMAZONA,,,,,COMERCIAL AMAZONA
CEREAL DE TRIGO 60X10X25GR,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CEREALES,AMAZONA,,,,,COMERCIAL AMAZONA
CEREAL DE MAIZ 50X10X25GRS,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CEREALES,AMAZONA,,,,,COMERCIAL AMAZONA
AJI PUMA BOTELLA 20X1000CC,ALIMENTOS,ADEREZOS,AJI,PUMA,,,,,PIMENTON  PUMA LTDA
QUESO CHANCO 6 LAMINAS PF,LACTEOS REFRIGERADOS Y CECINAS,QUESOS,LAMINADO,PF,,,,,PRODUCTOS FERNANDEZ S.A.
QUESOS CHANCO PF 12 LAMINAS  250GRS,LACTEOS REFRIGERADOS Y CECINAS,QUESOS,LAMINADO,PF,,,,,PRODUCTOS FERNANDEZ S.A.
QUESO CHANCO PF 24 LAMINAS 500GRS,LACTEOS REFRIGERADOS Y CECINAS,QUESOS,LAMINADO,PF,,,REFRIGERADOS,,PRODUCTOS FERNANDEZ S.A.
QUESO CHANCO PF 48 LAMINAS 1KL,LACTEOS REFRIGERADOS Y CECINAS,QUESOS,LAMINADO,PF,,,,,PRODUCTOS FERNANDEZ S.A.
ARROLLADO HUASO PF,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,ARROLLADO,PF,HUASO,BARRA,REFRIGERADOS,,PRODUCTOS FERNANDEZ S.A.
WHISKY BALLANTINES FINEST 12X750 CC,B.ALCOHOLICAS Y ANALCOHOLICAS,VINOS Y LICORES,WHISKY,BALLANTINE´S,FINEST,BOTELLA,VINOS Y LICORES,,COMPAÑIA PISQUERA DE CHILE S.A.
NULO,ASEO Y LIMPIEZA,DETERGENTES,POLVO,OMO,,,,,UNILEVER CHILE LIMITADA.
24OMOMUL3K+48D   NULO,ASEO Y LIMPIEZA,DETERGENTES,POLVO,OMO,,,,,UNILEVER CHILE LIMITADA.
24OMOSOFT3K+48DRIVEMATIC400G+CIFCRBLA750,ASEO Y LIMPIEZA,DETERGENTES,POLVO,OMO,,,,,UNILEVER CHILE LIMITADA.
24OMOSOFT3K+48DRIVECORR400G+CIFCRBLA750G,ASEO Y LIMPIEZA,DETERGENTES,POLVO,OMO,,,,,UNILEVER CHILE LIMITADA.
24OMOMAT3K+48DRIVEMATIC400G+CIFCRBLA750G,ASEO Y LIMPIEZA,DETERGENTES,POLVO,OMO,,,,,UNILEVER CHILE LIMITADA.
24OMOMAT3K+48DRIVECORR400G+CIFCRBLA750G,ASEO Y LIMPIEZA,DETERGENTES,POLVO,OMO,,,,,UNILEVER CHILE LIMITADA.
10TEEMBL50X20+18SDCLARA200G+24MCLICK800G,ALIMENTOS,TE,BOLSITA,EMBLEM,,,,,UNILEVER CHILE LIMITADA.
WHISKY SANDY MAC 12 X 750 CC.,B.ALCOHOLICAS Y ANALCOHOLICAS,VINOS Y LICORES,WHISKY,SANDY MAC,SANDY MAC,BOTELLA,VINOS Y LICORES,,COMERCIAL PEUMO LTDA.
COSTANUSS NOUGAT 18*160,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CHOCOLATES,COSTANUSS,,,,,EMPRESAS CAROZZI S.A.
CHOCOLATE CAREZZA 14X190GR,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CHOCOLATES,CAREZZA,,,,,EMPRESAS CAROZZI S.A.
RON HAVANA AÑEJO ESPECIAL 12 X 750 CC,B.ALCOHOLICAS Y ANALCOHOLICAS,VINOS Y LICORES,RON,HAVANA CLUB,AÑEJO ESPECIAL,BOTELLA,VINOS Y LICORES,,COMERCIAL CCU S.A.
Z. SH. HYS PREVENCION CAIDA 12X400ML,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,SHAMPOO,H&S,PREVENCION CAIDA,FRASCO,PRODUCTOS ASEO PERSONAL,,PROCTER & GAMBLE CHILE LTDA.
Z. SHP HYS LIMPIEZA RENOVADORA 12X400ML,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,SHAMPOO,H&S,LIMPIEZA RENOVADORA,FRASCO,PRODUCTOS ASEO PERSONAL,,PROCTER & GAMBLE CHILE LTDA.
Z-CEPILLO DIENTES DURALON COMPACT 40 MED,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,CEPILLOS DENTALES,DURALON,,,,,PROCTER & GAMBLE CHILE LTDA.
Z=CEPILLO DIENTES DURALON 6M 2X1 MEDIANO,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,CEPILLOS DENTALES,DURALON,MEDIANO,DISPLAY,PRODUCTOS ASEO PERSONAL,,PROCTER & GAMBLE CHILE LTDA.
Z=CEPILLO DIENTES DURALON 6N 2X1 DURO,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,CEPILLOS DENTALES,DURALON,,,,,PROCTER & GAMBLE CHILE LTDA.
CREMA SIN LACTOSA LONCO 200 CC.,LACTEOS REFRIGERADOS Y CECINAS,CREMAS,CREMAS,LONCO LECHE,,,CREMAS,,DIWATTS S.A
LECHE POLVO INSTAN CALO 14X400GRS,LACTEOS REFRIGERADOS Y CECINAS,LECHE POLVO,ENTERAS,CALO,ENTERA,BOLSA,LECHE POLVO,LECHE BLANCA ENTERA CALO 400GR,DIWATTS S.A
LECHE POLVO DESCREMADA CALO 14X400 GR,LACTEOS REFRIGERADOS Y CECINAS,LECHE POLVO,DESCREMADA,CALO,DESCREMADA,BOLSA,LECHE POLVO,,DIWATTS S.A
SHAKE SHAKE MOCCA 30X170CC,LACTEOS REFRIGERADOS Y CECINAS,LECHE LIQUIDA,SABOR,LONCO LECHE,,,,,DIWATTS S.A
YOGURT S/LACTOSA FRUTILLA LONCO 48X120GR,LACTEOS REFRIGERADOS Y CECINAS,YOGHURT,LIQUIDOS,LONCO LECHE,,,REFRIGERADOS,,DIWATTS S.A
YOGURT S/LACTOSA CHIRIMOYA LONCO 48X120G,LACTEOS REFRIGERADOS Y CECINAS,YOGHURT,LIQUIDOS,LONCO LECHE,,,REFRIGERADOS,,DIWATTS S.A
YOGURT S/LACTOSA DIGES FRUTIL 0% 48X120,LACTEOS REFRIGERADOS Y CECINAS,YOGHURT,BATIDO,LONCO LECHE,,,REFRIGERADOS,,DIWATTS S.A
YOGURT S/LACTOSA HUESOS FRAMBUESA 48X120,LACTEOS REFRIGERADOS Y CECINAS,YOGHURT,LIQUIDOS,LONCO LECHE,,,REFRIGERADOS,,DIWATTS S.A
Z. MERMELADA WATTS DAMASCO 24X275GR,LACTEOS REFRIGERADOS Y CECINAS,DULCES Y MERMELADAS,MERMELADAS,WATTS,DAMASCO,SACHET,DULCES Y MERMELADAS,,DIWATTS S.A
Z. MERMELADA WATTS DURAZNO 24X275 GR,LACTEOS REFRIGERADOS Y CECINAS,DULCES Y MERMELADAS,MERMELADAS,WATTS,,,,,DIWATTS S.A
Z. MERMELADA WATTS MORA 24X275 GRS,LACTEOS REFRIGERADOS Y CECINAS,DULCES Y MERMELADAS,MERMELADAS,WATTS,,,,,DIWATTS S.A
Z. MERMELADA WATTS FRUTILLA 24X275GR,LACTEOS REFRIGERADOS Y CECINAS,DULCES Y MERMELADAS,MERMELADAS,WATTS,,,,,DIWATTS S.A
CA.MANI SALADO MARCO POLO50X100GRS,LACTEOS REFRIGERADOS Y CECINAS,SNACKS Y COCKTAIL,FRUTOS SECOS,MARCO POLO,MANI SALADO,BOLSA,SNACKS Y COCKTAIL,,IMPORTADORA CAFE DO BRASIL S.A.
MANI SALADO MARCO POLO 50X150GRS,LACTEOS REFRIGERADOS Y CECINAS,SNACKS Y COCKTAIL,FRUTOS SECOS,MARCO POLO,,,,,IMPORTADORA CAFE DO BRASIL S.A.
Z. LUCCHETTI GNOCHETTI 30X400GR,ALIMENTOS,FIDEOS,GUISOS,LUCCHETTI,,,,,LUCCHETTI CHILE S.A.
Z. LUCCHETTI ESPIR 56 TR3S LEGUMBRE 400G,ALIMENTOS,FIDEOS,GUISOS,LUCCHETTI,,,,,LUCCHETTI CHILE S.A.
Z. LUCCHETTI CORB 88 TR3S LEGUMBRE 400G,ALIMENTOS,FIDEOS,GUISOS,LUCCHETTI,,,,,LUCCHETTI CHILE S.A.
LUCCHETTI SPG 5 TR3S LEGUMBRE 400GR,ALIMENTOS,FIDEOS,GUISOS,LUCCHETTI,,,,,LUCCHETTI CHILE S.A.
Z. LUCCHETTI PASTAS CARS 12X400GRS,ALIMENTOS,FIDEOS,GUISOS,LUCCHETTI,,,,,LUCCHETTI CHILE S.A.
CALUGA SUNY GOLD 16X130GR,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CARAMELOS,CALAF,,,,,COMERCIAL CCU S.A.
CHOCOLATE SAFARI KID 18X30X27GR,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CHOCOLATES,CALAF,,,CONFITES,,COMERCIAL CCU S.A.
IN KAT MANI 12X24X28GRS,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CEREALES,CALAF,,,CONFITES,,EMPRESAS CAROZZI S.A.
RICOLATE COCO NATURAL 12X18X30 GR,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CHOCOLATES,CALAF,,,CONFITES,,COMERCIAL CCU S.A.
RICOLATE MINI 12X10X15GR,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CHOCOLATES,CALAF,,,,,COMERCIAL CCU S.A.
GALLETA SODA CUBO CALAF 24X60GR,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,SODA, AGUA Y CÓCTEL,CALAF,,,,,COMERCIAL CCU S.A.
CALUGAS SUNY CLASICA 16X130GRS,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CARAMELOS,SUNNY,CLASICO,BOLSA,CONFITES,,COMERCIAL CCU S.A.
CALUGAS SUNY MENTA 16X130GR,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CARAMELOS,CALAF,,,,,COMERCIAL CCU S.A.
ALFAJOR CHILENO NUTRABIEN 6X24X45GR,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,BIZCOCHOS,CALAF,,,CONFITES,,COMERCIAL CCU S.A.
24SOFT+12MATIC+12MULT400GR+36MULT800GR,ASEO Y LIMPIEZA,DETERGENTES,POLVO,OMO,,,,,UNILEVER CHILE LIMITADA.
CHORITOS ACEITE SAN JOSE SOP 24X425,ALIMENTOS,CONSERVAS,MARISCOS,SAN JOSE,ACEITE,LATA,CONSERVAS MARISCOS,CHORITOS MARISCOS ACEITE SAN JOSE 425GR,ORIZON S.A.
CHORITOS NATURAL SAN JOSE SOP 24X425,ALIMENTOS,CONSERVAS,MARISCOS,SAN JOSE,NATURAL,LATA,CONSERVAS MARISCOS,,ORIZON S.A.
SALCHICHON CERVECERO PF 12*150 GRS,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,SALCHICHON,PF,CERVEZA,PAQUETE,REFRIGERADOS,,PRODUCTOS FERNANDEZ S.A.
MORTADELA JAMONADA PF 12*150 GRS,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,MORTADELA,PF,JAMONADA,BARRA,REFRIGERADOS,,PRODUCTOS FERNANDEZ S.A.
MORTADELA FINA PF 12X150GRS,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,MORTADELA,PF,FINA,BARRA,REFRIGERADOS,,PRODUCTOS FERNANDEZ S.A.
DRIVE INTELLIGENT POLVO 20X1 KG SUN RISE,ASEO Y LIMPIEZA,DETERGENTES,POLVO,DRIVE,,,,,UNILEVER CHILE LIMITADA.
DRIVE INTELLIGENT  36X200 GR SUN RISE,ASEO Y LIMPIEZA,DETERGENTES,POLVO,DRIVE,,,,,UNILEVER CHILE LIMITADA.
DRIVE INTELLIGENT 24X400 GR SUN RISE,ASEO Y LIMPIEZA,DETERGENTES,POLVO,DRIVE,,,,,UNILEVER CHILE LIMITADA.
DRIVE MATIC INTELLIGENT 36X200GR SUN RIS,ASEO Y LIMPIEZA,DETERGENTES,POLVO,DRIVE,,,,,UNILEVER CHILE LIMITADA.
DRIVE MATIC INTELLIGENT 20X1KG SUN RISE,ASEO Y LIMPIEZA,DETERGENTES,POLVO,DRIVE,,,,,UNILEVER CHILE LIMITADA.
DRIVE MATIC INTELLIGENT 24X400G SUN RISE,ASEO Y LIMPIEZA,DETERGENTES,POLVO,DRIVE,,,,,UNILEVER CHILE LIMITADA.
OMO BABY POLVO 20X1 KG SUN RISE,ASEO Y LIMPIEZA,DETERGENTES,POLVO,OMO,,,,,UNILEVER CHILE LIMITADA.
OMO MULTIACCION  H S 20X1 SUN RISE,ASEO Y LIMPIEZA,DETERGENTES,POLVO,OMO,,,,,UNILEVER CHILE LIMITADA.
OMO MULTIACCION H S 24X400 SUN RISE,ASEO Y LIMPIEZA,DETERGENTES,POLVO,OMO,,,,,UNILEVER CHILE LIMITADA.
LENTEJAS 5MM SELECTA 10X1KG,ABARROTES BASICOS Y MASCOTAS,LEGUMBRES,LENTEJAS,SELECTA,,,LEGUMBRES,,EMPRESAS TUCAPEL S.A.
ACEITE TRAVERSO VEGETAL 24X250 ML,ABARROTES BASICOS Y MASCOTAS,ACEITE,VEGETAL,TRAVERSO,,BOTELLA,ACEITE,,COMERCIALIZADORA AUSTRAL TRADING SPA
4OMO400ALOE+2QUIX750+2EMBL100+4HELNOR800,ASEO Y LIMPIEZA,DETERGENTES,POLVO,OMO,,,,,UNILEVER CHILE LIMITADA.
4OMO400ALOE+4QUIX750+4EMBL100+4HELNOR800,ASEO Y LIMPIEZA,DETERGENTES,POLVO,OMO,,,,,UNILEVER CHILE LIMITADA.
8OMO400ALOE+6QUIX750+4EMBL100+6HELNOR800,ASEO Y LIMPIEZA,DETERGENTES,POLVO,OMO,,,,,UNILEVER CHILE LIMITADA.
ACEITE BONANZA MARAVILLA  12X900 CC.,ABARROTES BASICOS Y MASCOTAS,ACEITE,MARAVILLA,BONANZA,,BOTELLA,ACEITE,ACEITE MARAVILLA BONANZA 900ML,AGROCOMERCE S.A
CARBON EL HUASO  1X 2.5 KG.,ABARROTES BASICOS Y MASCOTAS,CARBON,CARBON,EL HUASO,,,,,IRMA CARRASCO SALAS
24OMOCLAS3K+48DRIVEMATIC400G+CIFCRLIM750,ASEO Y LIMPIEZA,DETERGENTES,POLVO,OMO,,,,,UNILEVER CHILE LIMITADA.
24OMOCLAS3K+48DRIVEMATIC400G+CIFCRBLA750,ASEO Y LIMPIEZA,DETERGENTES,POLVO,OMO,,,,,UNILEVER CHILE LIMITADA.
24OMOCLAS3K+48DRIVECORR400G+CIFCRLIM750G,ASEO Y LIMPIEZA,DETERGENTES,POLVO,OMO,,,,,UNILEVER CHILE LIMITADA.
24OMOCLAS3K+48DRIVECORR400G+CIFCRBLA750G,ASEO Y LIMPIEZA,DETERGENTES,POLVO,OMO,,,,,UNILEVER CHILE LIMITADA.
